experiment_id,run_id,timestamp,environment,measurement_type,architecture,processor,cpu_cores,ram_mb,os,compiler,compiler_version,optimization_flags,implementation,implementation_version,mlkem_variant,operation,iteration,execution_time_ns,memory_bytes,success,error_message
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:11Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","keygen",1,293284,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","encapsulation",1,21118,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","decapsulation",1,36598,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","keygen",2,18946,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","encapsulation",2,20491,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","decapsulation",2,40399,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","keygen",3,50992,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","encapsulation",3,54628,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","decapsulation",3,27077,2109440,True,""
"d29664b8-83ba-41a2-ae3a-2275ec70c5ae","a0f0c686-bd75-4cdd-9fc5-a94f50c238d6","2026-09-13T07:27:12Z","native_x86_64_wsl2_mlkem_native","NATIVE_SOFTWARE","x86_64","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",16,7809,"Linux 6.18.33.2-microsoft-standard-WSL2","gcc","15.2.0","-O3 (WSL2 Ubuntu / GCC)","mlkem-native","v1.2.0 (UNKNOWN)","ML-KEM-512","keygen",4,18877,2109440,True,""
