experiment_id,run_id,timestamp,environment,measurement_type,architecture,processor,cpu_cores,ram_mb,os,compiler,compiler_version,optimization_flags,implementation,implementation_version,mlkem_variant,operation,iteration,execution_time_ns,memory_bytes,success,error_message
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.399041+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,keygen,1,1583600,29147136,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.401034+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,encapsulation,1,187500,29159424,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.401352+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,decapsulation,1,50500,29175808,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.401528+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,keygen,2,210400,29179904,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.402001+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,encapsulation,2,174100,29188096,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.402286+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,decapsulation,2,49900,29233152,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.402462+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,keygen,3,179200,29237248,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.402899+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,encapsulation,3,156800,29245440,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.403157+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,decapsulation,3,48700,29253632,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.403300+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,keygen,4,191800,29261824,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.403761+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,encapsulation,4,157900,29270016,True,
7edec9c3-f741-4b69-83b7-9ce9682e3205,e42c6261-5e05-4990-9428-5529f72532bd,2026-08-12T17:22:02.404058+00:00,native_windows_x86_64,NATIVE_SOFTWARE,x86_64,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",12,7598,Windows-11-10.0.26200-SP0,N/A (prebuilt Python extension wheel),N/A,N/A (prebuilt wheel),pqcrypto,0.4.0,ML-KEM-512,decapsulation,4,48700,29310976,True,
