experiment_id,run_id,timestamp,environment,measurement_type,architecture,processor,cpu_cores,ram_mb,os,compiler,compiler_version,optimization_flags,implementation,implementation_version,mlkem_variant,operation,iteration,execution_time_ns,memory_bytes,success,error_message
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","keygen",1,225000,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","encapsulation",1,235462,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","decapsulation",1,267154,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","keygen",2,196308,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","encapsulation",2,218461,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","decapsulation",2,256846,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","keygen",3,193770,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","encapsulation",3,215385,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","decapsulation",3,253616,3612672,True,""
"757b037e-dacf-4c6c-a9b9-a1644f3eee7e","26bbceec-0962-4dd1-8444-9be22af6dc06","2026-08-12T20:48:12Z","android_vivo_y19_termux","NATIVE_HARDWARE","aarch64","aarch64",8,3741,"Linux 4.14.186-g1003dc13e-dirty","clang","21.1.8 ","-O3 -march=armv8-a","mlkem-native","v1.2.0 (0ba906cb14b1c241476134d7403a811b382ca498)","ML-KEM-768","keygen",4,192616,3612672,True,""
